Year,State,therapy_near_me,no_friends,kill_myself,self_harm,feeling_alone,suicide,sin,hate_myself,divorce,fitting_in,kill_yourself,jesus,bullying,lonely,guilty,feeling_sad,suicide_hotline,i_hate_my_parents,hope,cant_sleep,eating_disorder,therapy,faith,abusive_parents,i_want_to_die,coping_with_stress,depression,cutting,school_stress,hell
2006,Colorado,0,22.0,13.0,15.0,0.0,74,44.0,41.0,81,10.0,16.0,58,29.0,71,49.0,7.0,14.0,0.0,37,0.0,60.0,73,52,12.0,35.0,0.0,58,78,10.0,65
2006,Connecticut,0,46.0,26.0,0.0,0.0,77,57.0,82.0,74,27.0,34.0,54,77.0,83,68.0,17.0,15.0,0.0,44,0.0,72.0,69,54,37.0,34.0,57.0,70,63,42.0,77
2006,Delaware,0,0.0,0.0,0.0,0.0,69,47.0,0.0,80,100.0,0.0,66,35.0,72,81.0,0.0,0.0,0.0,44,0.0,72.0,86,53,0.0,47.0,0.0,62,70,0.0,70
2006,District of Columbia,9.0,35.0,39.0,7.0,0.0,65,52.0,0.0,82,13.0,25.0,54,33.0,79,68.0,12.0,6.0,0.0,42,0.0,42.0,56,53,0.0,21.0,0.0,52,55,46.0,60
2006,Florida,0,30.0,21.0,10.0,0.0,63,61.0,39.0,86,23.0,25.0,73,31.0,56,61.0,2.0,14.0,62.0,31,37.0,43.0,67,57,9.0,29.0,22.0,47,52,20.0,60
2006,Georgia,0,25.0,10.0,4.0,0.0,55,49.0,34.0,93,18.0,22.0,77,26.0,58,54.0,18.0,17.0,57.0,61,85.0,32.0,62,69,4.0,27.0,10.0,54,60,37.0,59
2006,Hawaii,66.0,71.0,67.0,0.0,0.0,64,45.0,0.0,75,0.0,12.0,54,57.0,85,55.0,0.0,21.0,0.0,57,0.0,39.0,59,44,0.0,56.0,0.0,60,67,0.0,56
2006,Idaho,0,100.0,0.0,70.0,0.0,83,52.0,0.0,75,0.0,0.0,79,40.0,70,57.0,0.0,66.0,0.0,35,0.0,51.0,78,61,0.0,0.0,0.0,79,83,0.0,66
2006,Illinois,0,27.0,20.0,19.0,23.0,68,50.0,50.0,82,20.0,21.0,61,50.0,67,58.0,6.0,15.0,49.0,39,0.0,51.0,72,56,8.0,24.0,40.0,63,58,37.0,61
2006,Indiana,0,17.0,23.0,37.0,80.0,78,54.0,78.0,81,34.0,29.0,81,65.0,70,42.0,0.0,12.0,0.0,44,0.0,58.0,68,65,0.0,43.0,40.0,75,72,30.0,74
2006,Iowa,0,31.0,79.0,0.0,56.0,72,43.0,38.0,79,45.0,9.0,79,86.0,68,39.0,27.0,15.0,0.0,43,0.0,61.0,79,71,100.0,44.0,59.0,89,78,0.0,75
2006,Kansas,21.0,22.0,43.0,29.0,0.0,72,54.0,21.0,81,22.0,33.0,81,64.0,69,51.0,0.0,0.0,0.0,42,0.0,37.0,74,64,0.0,30.0,0.0,64,72,54.0,96
2006,Kentucky,0,48.0,19.0,40.0,0.0,79,57.0,81.0,83,22.0,32.0,92,85.0,68,59.0,0.0,13.0,0.0,41,0.0,70.0,73,68,21.0,0.0,0.0,72,68,38.0,82
